"ID","validFrom","validTo","longitude","latitude","name","description","image","number","orderBy","isKidFriendly","isElderlyFriendly","isStrollerFriendly","hasVisited","hasToilet","hasFood","myAdjacentStamp","targetForAdjacentStamp","Stampings","groupFilterStampings","groupSize","totalGroupStampings","stampedUserIds","stampedUsers"
"9b200dc4-d6b4-4ba7-9fa6-7ac110edf2a9","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.575240000000008","51.57689","Historischer Gipsbrennofen","Historischer Gipsbrennofen ~ this will come later: make a get request",,"192","192",,,,,,,,,,,,,,
"93b1d080-00a5-402d-b1ef-7dde4c44b873","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.036499999999933","51.67238","Laubtalblick","Laubtalblick ~ this will come later: make a get request",,"191","191",,,,,,,,,,,,,,
"16bbea31-db5b-46d1-91bc-71f8aa7f99e2","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.065000000000055","51.67948","Bergrat-Müller-Teich","Bergrat-Müller-Teich ~ this will come later: make a get request",,"190","190",,,,,,,,,,,,,,
"4d4e6e22-abcc-4d4d-a770-d6ac61106429","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.07928000000004","51.68488","Große Teufelsmühle","Große Teufelsmühle ~ this will come later: make a get request",,"189","189",,,,,,,,,,,,,,
"c9439ceb-4df7-4e29-9951-52a740bd8caf","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.08734000000004","51.75603","Teufelsmauer Weddersleben","Teufelsmauer Weddersleben ~ this will come later: make a get request",,"188","188",,,,,,,,,,,,,,
"35d07a92-1ff8-4f56-8d61-bd4dd8284b6c","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.080709999999954","51.72632","Lauenburg","Lauenburg ~ this will come later: make a get request",,"187","187",,,,,,,,,,,,,,
"c7efeaf4-9519-4309-b72e-dc272a455de7","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.105580000000032","51.71634","Anhaltinischer Salstein","Anhaltinischer Salstein ~ this will come later: make a get request",,"186","186",,,,,,,,,,,,,,
"dae9c271-8417-40b3-b79e-9a47902c0974","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.11916999999994","51.72378","Preußenturm","Preußenturm ~ this will come later: make a get request",,"185","185",,,,,,,,,,,,,,
"b69b22e4-fbc2-4d42-ad3f-48c5ab80351a","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.095890000000054","51.68222","Bärendenkmal","Bärendenkmal ~ this will come later: make a get request",,"184","184",,,,,,,,,,,,,,
"357b8679-27c6-4a7f-98db-37da1b4a13d6","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.130899999999997","51.71769","Försterblick Gernrode","Försterblick Gernrode ~ this will come later: make a get request",,"183","183",,,,,,,,,,,,,,
"c25b353a-cc97-4128-bce5-71a60893fdc9","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.182530000000042","51.69141","Schirm","Schirm ~ this will come later: make a get request",,"182","182",,,,,,,,,,,,,,
"bf6e1ada-fd3d-4031-b9e1-d8f6600c484d","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.255459999999971","51.70738","Alter Kohlenschacht","Alter Kohlenschacht ~ this will come later: make a get request",,"180","180",,,,,,,,,,,,,,
"b40daef2-e28c-46e7-8f1e-ad50d1d574f9","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.165809999999965","51.66857","IV. Friedrichshammer","IV. Friedrichshammer ~ this will come later: make a get request",,"179","179",,,,,,,,,,,,,,
"d5ebffe5-d573-44b1-a1ae-9cdcc89adc0e","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.017749999999978","51.73363","Hirschgrund (am Gasthaus Königsruhe)","Hirschgrund (am Gasthaus Königsruhe) ~ this will come later: make a get request",,"178","178",,,,,,,,,,,,,,
"4dee5fb8-484a-4eb3-810e-6ecc65bd336e","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.114779999999996","51.64635","Verlobungsurne Alexisbad","Verlobungsurne Alexisbad ~ this will come later: make a get request",,"177","177",,,,,,,,,,,,,,
"1849af12-4be7-446c-a36d-a76f378973d5","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.082959999999957","51.63218","Uhlenköpfe Hänichen","Uhlenköpfe Hänichen ~ this will come later: make a get request",,"176","176",,,,,,,,,,,,,,
"c00e3e37-33ee-469f-9669-6566e5ae3a9f","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.06510000000003","51.61185","Schaubergwerk Glasebach","Schaubergwerk Glasebach ~ this will come later: make a get request",,"175","175",,,,,,,,,,,,,,
"0edc0176-fce9-426d-b1ae-7d88991a7dc2","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.7192","51.77536","Hohnehof","Hohnehof ~ this will come later: make a get request",,"174","174",,,,,,,,,,,,,,
"deb8e91a-0d91-4132-8df5-cd45a5c91027","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.022739999999999","51.63769","Waldwiese Hirschbüchenkopf","Waldwiese Hirschbüchenkopf ~ this will come later: make a get request",,"173","173",,,,,,,,,,,,,,
"1fca4b2f-0581-4f84-91d9-7c36835d4fe1","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.968380000000025","51.63703","Katzsohlteich","Katzsohlteich ~ this will come later: make a get request",,"172","172",,,,,,,,,,,,,,
"e5136b7c-639a-4d75-9d1c-e56c7f201329","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.33152999999993","51.88803","Altarklippen (oberhalb d. Granestausees)","Altarklippen (oberhalb d. Granestausees) ~ this will come later: make a get request",,"171","171",,,,,,,,,,,,,,
"0e528f51-b63c-4791-a81f-24be9b135ee1","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.605320000000006","51.86502","Rabenklippe","Rabenklippe ~ this will come later: make a get request",,"170","170",,,,,,,,,,,,,,
"d1bf803e-4947-405f-aad0-bf0d0d903ae8","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.573100000000068","51.85568","Molkenhaus","Molkenhaus ~ this will come later: make a get request",,"169","169",,,,,,,,,,,,,,
"18f6a83a-692c-482e-ad3a-1ab2b902b2ba","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.580550000000017","51.78133","Dreieckiger Pfahl","Dreieckiger Pfahl ~ this will come later: make a get request",,"168","168",,,,,,,,,,,,,,
"9ada61be-8cce-48fa-8f72-3d25c557de17","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.645909999999958","51.58104","Hexentanzplatz (= Ellricher Blick)","Hexentanzplatz (= Ellricher Blick) ~ this will come later: make a get request",,"167","167",,,,,,,,,,,,,,
"ffab700f-ab6a-4046-82df-057e733035b7","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.583849999999984","51.58073","Sachsensteinhütte","Sachsensteinhütte ~ this will come later: make a get request",,"166","166",,,,,,,,,,,,,,
"bb2e0b12-b18d-4be5-8e5b-3a5c59610f72","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.65709000000004","51.62454","Wendel-Eiche","Wendel-Eiche ~ this will come later: make a get request",,"165","165",,,,,,,,,,,,,,
"42c6ee57-04c5-4352-85d4-9e3bd6848e4b","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.643260000000055","51.6231","Stiefmutter","Stiefmutter ~ this will come later: make a get request",,"164","164",,,,,,,,,,,,,,
"d5260ade-c6ea-45aa-9a28-eac9b3a6dc9e","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.601291656494142","51.65317589589068","Gipfelblick am Kaiserweg","Gipfelblick am Kaiserweg ~ this will come later: make a get request",,"163","163",,,,,,,,,,,,,,
"a38261eb-cd89-4c92-b8cd-0097c95f10ec","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.584870000000024","51.62819","Kreuztalsklippe","Kreuztalsklippe ~ this will come later: make a get request",,"162","162",,,,,,,,,,,,,,
"9dc083ac-a301-41e3-9a54-8017321a091b","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.542709999999943","51.63092","Stephanshütte","Stephanshütte ~ this will come later: make a get request",,"161","161",,,,,,,,,,,,,,
"dccd0e7b-d49d-4e71-9631-49a49a4b7e87","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.610770000000002","51.64226","Helenenruh Zorge","Helenenruh Zorge ~ this will come later: make a get request",,"160","160",,,,,,,,,,,,,,
"e8f572d0-4df1-4918-9340-9c483909f999","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.554079999999999","51.65653","Stöberhai","Stöberhai ~ this will come later: make a get request",,"159","159",,,,,,,,,,,,,,
"4444a5f2-0eef-4df5-9fbc-bb8aca184b71","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.52494999999999","51.63829","Hassenstein","Hassenstein ~ this will come later: make a get request",,"158","158",,,,,,,,,,,,,,
"f452b2b7-b64d-48f1-8661-140dbe997969","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.595739999999978","51.69071","Kapellenfleck","Kapellenfleck ~ this will come later: make a get request",,"157","157",,,,,,,,,,,,,,
"1b9be2c4-cd74-4ab8-96e2-030b19ca3b06","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.61868000000004","51.75643","Wurmberg-Baude","Wurmberg-Baude ~ this will come later: make a get request",,"156","156",,,,,,,,,,,,,,
"679f8552-6e52-4ebd-a8db-cf155e4e6452","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.538070000000062","51.72925","Rehberger Grabenhaus","Rehberger Grabenhaus ~ this will come later: make a get request",,"155","155",,,,,,,,,,,,,,
"f9bbaab7-2b38-4c78-b1a0-416c82a3f68b","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.511359999999968","51.73224","Dreibrodestein","Dreibrodestein ~ this will come later: make a get request",,"154","154",,,,,,,,,,,,,,
"62e7dafb-b854-4836-8b73-b9a9e6dad13c","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.44259999999997","51.64342","Knollenkreuz","Knollenkreuz ~ this will come later: make a get request",,"152","152",,,,,,,,,,,,,,
"103c2b60-d442-4a0d-a284-cf54e1a90cc2","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.408930000000055","51.62885","Ruine Scharzfels","Ruine Scharzfels ~ this will come later: make a get request",,"151","151",,,,,,,,,,,,,,
